Edge_ID,From_Node,From_Node_Name,To_Node,To_Node_Name,Mode,country,Distance,Cost_c1,Cost_c2,Time,Carbon,Capacity
E70,N4,成都,N15,喀什,3,国内班列,3784,532,3.357,57.3,0.000902,100000
E71,N5,重庆,N11,满洲里,3,国内班列,4141,532,3.357,62.7,0.000902,100000
E72,N5,重庆,N12,二连浩特,3,国内班列,2729,532,3.357,41.3,0.000902,100000
E73,N5,重庆,N13,阿拉山口,3,国内班列,3945,532,3.357,59.8,0.000902,100000
E74,N5,重庆,N14,霍尔果斯,3,国内班列,3336.7,532,3.357,50.6,0.000902,100000
E75,N5,重庆,N15,喀什,3,国内班列,3832.3,532,3.357,58.1,0.000902,100000
E76,N6,武汉,N11,满洲里,3,国内班列,3340,532,3.357,50.6,0.000902,100000
E77,N6,武汉,N12,二连浩特,3,国内班列,1928,532,3.357,29.2,0.000902,100000
E78,N6,武汉,N13,阿拉山口,3,国内班列,4015,532,3.357,60.8,0.000902,100000
E79,N6,武汉,N14,霍尔果斯,3,国内班列,3828,532,3.357,58,0.000902,100000
E80,N6,武汉,N15,喀什,3,国内班列,4324,532,3.357,65.5,0.000902,100000
E81,N7,大连,N11,满洲里,3,国内班列,1722,532,3.357,26.1,0.000902,100000
E82,N7,大连,N12,二连浩特,3,国内班列,1584.6,532,3.357,24,0.000902,100000
E83,N7,大连,N13,阿拉山口,3,国内班列,4088,532,3.357,61.9,0.000902,100000
E84,N7,大连,N14,霍尔果斯,3,国内班列,4303,532,3.357,65.2,0.000902,100000
E85,N7,大连,N15,喀什,3,国内班列,4800,532,3.357,72.7,0.000902,100000
E86,N8,青岛,N11,满洲里,3,国内班列,2670,532,3.357,40.5,0.000902,100000
E87,N8,青岛,N12,二连浩特,3,国内班列,1386.3,532,3.357,21,0.000902,100000
E88,N8,青岛,N13,阿拉山口,3,国内班列,3923,532,3.357,59.4,0.000902,100000
E89,N8,青岛,N14,霍尔果斯,3,国内班列,4489,532,3.357,68,0.000902,100000
E90,N8,青岛,N15,喀什,3,国内班列,4564.6,532,3.357,69.2,0.000902,100000
E91,N9,上海,N11,满洲里,3,国内班列,3344,532,3.357,50.7,0.000902,100000
E92,N9,上海,N12,二连浩特,3,国内班列,2127,532,3.357,32.2,0.000902,100000
E93,N9,上海,N13,阿拉山口,3,国内班列,4708,532,3.357,71.3,0.000902,100000
E94,N9,上海,N14,霍尔果斯,3,国内班列,4440.3,532,3.357,67.3,0.000902,100000
E95,N9,上海,N15,喀什,3,国内班列,4954.9,532,3.357,75.1,0.000902,100000
E96,N10,深圳,N11,满洲里,3,国内班列,4480,532,3.357,67.9,0.000902,100000
E97,N10,深圳,N12,二连浩特,3,国内班列,3035,532,3.357,46,0.000902,100000
E98,N10,深圳,N13,阿拉山口,3,国内班列,5249,532,3.357,79.5,0.000902,100000
E99,N10,深圳,N14,霍尔果斯,3,国内班列,4647.5,532,3.357,70.4,0.000902,100000
E100,N10,深圳,N15,喀什,3,国内班列,5148.8,532,3.357,78,0.000902,100000
E101,N11,满洲里,N17,乌兰乌德,1,,1014,0,14,11.3,0.00151,100000
E102,N12,二连浩特,N17,乌兰乌德,1,,657,0,14,7.3,0.00151,100000
E103,N13,阿拉山口,N18,扎雷克,1,,1251,0,14,13.9,0.00151,100000
